ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,College Admissions Process,,FOUND
2,Admissions Timeline,1,FOUND
3,Selective Admissions,1|19,FOUND
4,Admissions Office,1,FOUND
5,Admissions Officer,4,FOUND
6,Holistic Review,5|8|3,FOUND
7,Formula-Based Admissions,8|22,FOUND
8,Academic Record,9|10|13,FOUND
9,High School Transcript,,FOUND
10,Grade Point Average,9,FOUND
11,Weighted GPA,10|131,FOUND
12,Unweighted GPA,10,FOUND
13,Course Rigor,9|130,FOUND
14,Class Rank,10,FOUND
15,Demonstrated Interest,4,FOUND
16,Institutional Priorities,4,FOUND
17,Legacy Status,16,FOUND
18,First-Generation Student,16,FOUND
19,Admission Rate,1|21,FOUND
20,Middle 50% Range,19|10,FOUND
21,Four-Year College,,FOUND
22,Public University,21,FOUND
23,Private College,21,FOUND
24,Liberal Arts College,23,FOUND
25,Research University,21,FOUND
26,Flagship University,22|25,FOUND
27,In-State Residency,22,FOUND
28,Out-of-State Applicant,27,FOUND
29,Application Rounds,2|74,FOUND
30,Early Decision,29|35,FOUND
31,Early Action,29,FOUND
32,Restrictive Early Action,31|30,FOUND
33,Regular Decision,29,FOUND
34,Rolling Admission,29,FOUND
35,Binding Commitment,1,FOUND
36,Admissions Myths,6,FOUND
37,No Single Right School Myth,36|41,FOUND
38,Test-Optional Myth,36|103,FOUND
39,Well-Rounded Applicant Myth,36|151,FOUND
40,College List,21|1,LIST
41,College Fit,40|45,LIST
42,Academic Fit,41|47|20,LIST
43,Social Fit,41|52,LIST
44,Financial Fit,41|241,LIST
45,Self-Assessment,46,LIST
46,Personal Priorities,1,LIST
47,Intended Major,45,LIST
48,Undeclared Major,47,LIST
49,School Size,45|21,LIST
50,Campus Setting,45,LIST
51,Distance From Home,45,LIST
52,Campus Culture,49|50,LIST
53,Reach School,40|20|19,LIST
54,Target School,53,LIST
55,Safety School,54|44,LIST
56,Balanced College List,53|54|55,LIST
57,College Research Tools,40,LIST
58,College Search Website,57,LIST
59,College Scorecard,57|61|241,LIST
60,Common Data Set,57|20,LIST
61,Graduation Rate,21,LIST
62,Retention Rate,61,LIST
63,Virtual Tour,57,LIST
64,Campus Visit,57|52,LIST
65,College Fair,57,LIST
66,Admissions Information Session,64|4,LIST
67,Student Reviews,57|43,LIST
68,Long List,57|41,LIST
69,Narrowing the List,68|56|42|44|43,LIST
70,Final College List,69,LIST
71,Getting Organized,1,ORG
72,Deadline Tracker,71|74,ORG
73,Shared Tracker,72|90,ORG
74,Application Deadline,2,ORG
75,Supporting Document Deadline,74,ORG
76,Priority Deadline,74,ORG
77,Calendar Reminders,72,ORG
78,Application Checklist,71|70,ORG
79,Filing System,71,ORG
80,Digital Document Folder,79,ORG
81,Transcript Copies,79|9,ORG
82,Essay Drafts Folder,79|158,ORG
83,Login Credentials Record,79|85,ORG
84,Dedicated Email Address,71,ORG
85,Applicant Portal,84|229,ORG
86,Checking Portals Regularly,85|300,ORG
87,School Counselor,1,ORG
88,Counselor Meeting,87,ORG
89,Independent Counselor,87,ORG
90,Parent and Family Role,1,ORG
91,Summer Before Senior Year,2,ORG
92,Senior Year Calendar,2|29,ORG
93,Month-by-Month Planner,92|72|246|115,ORG
94,Five First Steps,73|213|192|157|163,ORG
95,Verifying Current Policies,234|2,ORG
96,Capstone Application Roadmap,93|70|95|106|187|195|292|320,ORG
97,Application Fee,229,ORG
